module,unroll_factor,metric_name,metric_val
addmm,1024,target_clock_period,10.0
addmm,1024,slack,3.858
addmm,1024,clock_period_minus_wns,6.1419999999999995
addmm,1024,Arithmetic,4100
addmm,1024,BLOCKRAM,64
addmm,1024,CLB,207424
addmm,1024,Register,86682
addmm,1024,LatencyBest,172
addmm,1024,LatencyAvg,172
addmm,1024,LatencyWorst,172
addmm,1024,PipelineII,173
addmm,1024,elapsed_time,194.14
addmm,128,target_clock_period,10.0
addmm,128,slack,2.727
addmm,128,clock_period_minus_wns,7.273
addmm,128,Arithmetic,512
addmm,128,BLOCKRAM,256
addmm,128,CLB,43957
addmm,128,Register,22930
addmm,128,LatencyBest,694
addmm,128,LatencyAvg,694
addmm,128,LatencyWorst,694
addmm,128,PipelineII,695
addmm,128,elapsed_time,226.45
addmm,16,target_clock_period,10.0
addmm,16,slack,3.235
addmm,16,clock_period_minus_wns,6.765000000000001
addmm,16,Arithmetic,64
addmm,16,BLOCKRAM,32
addmm,16,CLB,5143
addmm,16,Register,3147
addmm,16,LatencyBest,960
addmm,16,LatencyAvg,960
addmm,16,LatencyWorst,960
addmm,16,PipelineII,961
addmm,16,elapsed_time,41.55
addmm,2,target_clock_period,10.0
addmm,2,slack,3.636
addmm,2,clock_period_minus_wns,6.364
addmm,2,Arithmetic,8
addmm,2,BLOCKRAM,4
addmm,2,CLB,765
addmm,2,Register,407
addmm,2,LatencyBest,5264
addmm,2,LatencyAvg,5264
addmm,2,LatencyWorst,5264
addmm,2,PipelineII,5265
addmm,2,elapsed_time,29.59
addmm,256,target_clock_period,10.0
addmm,256,slack,3.858
addmm,256,clock_period_minus_wns,6.1419999999999995
addmm,256,Arithmetic,1028
addmm,256,BLOCKRAM,16
addmm,256,CLB,52003
addmm,256,Register,25955
addmm,256,LatencyBest,184
addmm,256,LatencyAvg,184
addmm,256,LatencyWorst,184
addmm,256,PipelineII,185
addmm,256,elapsed_time,93.15
addmm,32,target_clock_period,10.0
addmm,32,slack,3.117
addmm,32,clock_period_minus_wns,6.883
addmm,32,Arithmetic,128
addmm,32,BLOCKRAM,64
addmm,32,CLB,10149
addmm,32,Register,5669
addmm,32,LatencyBest,808
addmm,32,LatencyAvg,808
addmm,32,LatencyWorst,808
addmm,32,PipelineII,809
addmm,32,elapsed_time,66.78
addmm,4,target_clock_period,10.0
addmm,4,slack,3.636
addmm,4,clock_period_minus_wns,6.364
addmm,4,Arithmetic,16
addmm,4,BLOCKRAM,8
addmm,4,CLB,1250
addmm,4,Register,640
addmm,4,LatencyBest,5072
addmm,4,LatencyAvg,5072
addmm,4,LatencyWorst,5072
addmm,4,PipelineII,5073
addmm,4,elapsed_time,29.14
addmm,512,target_clock_period,10.0
addmm,512,slack,3.858
addmm,512,clock_period_minus_wns,6.1419999999999995
addmm,512,Arithmetic,2052
addmm,512,BLOCKRAM,32
addmm,512,CLB,103170
addmm,512,Register,45617
addmm,512,LatencyBest,176
addmm,512,LatencyAvg,176
addmm,512,LatencyWorst,176
addmm,512,PipelineII,177
addmm,512,elapsed_time,125.19
addmm,64,target_clock_period,10.0
addmm,64,slack,3.228
addmm,64,clock_period_minus_wns,6.772
addmm,64,Arithmetic,256
addmm,64,BLOCKRAM,128
addmm,64,CLB,19961
addmm,64,Register,10751
addmm,64,LatencyBest,732
addmm,64,LatencyAvg,732
addmm,64,LatencyWorst,732
addmm,64,PipelineII,733
addmm,64,elapsed_time,103.67
addmm,8,target_clock_period,10.0
addmm,8,slack,3.636
addmm,8,clock_period_minus_wns,6.364
addmm,8,Arithmetic,32
addmm,8,BLOCKRAM,16
addmm,8,CLB,2269
addmm,8,Register,1093
addmm,8,LatencyBest,6512
addmm,8,LatencyAvg,6512
addmm,8,LatencyWorst,6512
addmm,8,PipelineII,6513
addmm,8,elapsed_time,34.53
batch_norm,1024,target_clock_period,10.0
batch_norm,1024,slack,3.865
batch_norm,1024,clock_period_minus_wns,6.135
batch_norm,1024,Arithmetic,16
batch_norm,1024,CLB,5818
batch_norm,1024,Register,2190
batch_norm,1024,LatencyBest,119
batch_norm,1024,LatencyAvg,119
batch_norm,1024,LatencyWorst,119
batch_norm,1024,PipelineII,120
batch_norm,1024,elapsed_time,45.2
batch_norm,128,target_clock_period,10.0
batch_norm,128,slack,3.865
batch_norm,128,clock_period_minus_wns,6.135
batch_norm,128,Arithmetic,16
batch_norm,128,CLB,5818
batch_norm,128,Register,2190
batch_norm,128,LatencyBest,119
batch_norm,128,LatencyAvg,119
batch_norm,128,LatencyWorst,119
batch_norm,128,PipelineII,120
batch_norm,128,elapsed_time,45.5
batch_norm,16,target_clock_period,10.0
batch_norm,16,slack,3.793
batch_norm,16,clock_period_minus_wns,6.207
batch_norm,16,Arithmetic,144
batch_norm,16,CLB,15818
batch_norm,16,Register,5589
batch_norm,16,LatencyBest,43
batch_norm,16,LatencyAvg,43
batch_norm,16,LatencyWorst,43
batch_norm,16,PipelineII,44
batch_norm,16,elapsed_time,32.35
batch_norm,2,target_clock_period,10.0
batch_norm,2,slack,3.829
batch_norm,2,clock_period_minus_wns,6.170999999999999
batch_norm,2,Arithmetic,24
batch_norm,2,CLB,5541
batch_norm,2,Register,2033
batch_norm,2,LatencyBest,801
batch_norm,2,LatencyAvg,801
batch_norm,2,LatencyWorst,801
batch_norm,2,PipelineII,802
batch_norm,2,elapsed_time,27.59
batch_norm,256,target_clock_period,10.0
batch_norm,256,slack,3.865
batch_norm,256,clock_period_minus_wns,6.135
batch_norm,256,Arithmetic,16
batch_norm,256,CLB,5818
batch_norm,256,Register,2190
batch_norm,256,LatencyBest,119
batch_norm,256,LatencyAvg,119
batch_norm,256,LatencyWorst,119
batch_norm,256,PipelineII,120
batch_norm,256,elapsed_time,45.21
batch_norm,32,target_clock_period,10.0
batch_norm,32,slack,3.777
batch_norm,32,clock_period_minus_wns,6.223
batch_norm,32,Arithmetic,288
batch_norm,32,CLB,22977
batch_norm,32,Register,8175
batch_norm,32,LatencyBest,38
batch_norm,32,LatencyAvg,38
batch_norm,32,LatencyWorst,38
batch_norm,32,PipelineII,39
batch_norm,32,elapsed_time,42.19
batch_norm,4,target_clock_period,10.0
batch_norm,4,slack,3.815
batch_norm,4,clock_period_minus_wns,6.1850000000000005
batch_norm,4,Arithmetic,74
batch_norm,4,CLB,8069
batch_norm,4,Register,2860
batch_norm,4,LatencyBest,51
batch_norm,4,LatencyAvg,51
batch_norm,4,LatencyWorst,51
batch_norm,4,PipelineII,52
batch_norm,4,elapsed_time,29.11
batch_norm,512,target_clock_period,10.0
batch_norm,512,slack,3.865
batch_norm,512,clock_period_minus_wns,6.135
batch_norm,512,Arithmetic,16
batch_norm,512,CLB,5818
batch_norm,512,Register,2190
batch_norm,512,LatencyBest,119
batch_norm,512,LatencyAvg,119
batch_norm,512,LatencyWorst,119
batch_norm,512,PipelineII,120
batch_norm,512,elapsed_time,45.64
batch_norm,64,target_clock_period,10.0
batch_norm,64,slack,3.756
batch_norm,64,clock_period_minus_wns,6.244
batch_norm,64,Arithmetic,720
batch_norm,64,CLB,44426
batch_norm,64,Register,15948
batch_norm,64,LatencyBest,35
batch_norm,64,LatencyAvg,35
batch_norm,64,LatencyWorst,35
batch_norm,64,PipelineII,36
batch_norm,64,elapsed_time,70.7
batch_norm,8,target_clock_period,10.0
batch_norm,8,slack,3.815
batch_norm,8,clock_period_minus_wns,6.1850000000000005
batch_norm,8,Arithmetic,74
batch_norm,8,CLB,8069
batch_norm,8,Register,2860
batch_norm,8,LatencyBest,51
batch_norm,8,LatencyAvg,51
batch_norm,8,LatencyWorst,51
batch_norm,8,PipelineII,52
batch_norm,8,elapsed_time,27.55
conv,1024,target_clock_period,10.0
conv,1024,slack,3.857
conv,1024,clock_period_minus_wns,6.143
conv,1024,Arithmetic,769
conv,1024,CLB,123024
conv,1024,Register,118408
conv,1024,LatencyBest,465
conv,1024,LatencyAvg,465
conv,1024,LatencyWorst,465
conv,1024,PipelineII,466
conv,1024,elapsed_time,1170.91
conv,128,target_clock_period,10.0
conv,128,slack,3.858
conv,128,clock_period_minus_wns,6.1419999999999995
conv,128,Arithmetic,121
conv,128,CLB,21590
conv,128,Register,14828
conv,128,LatencyBest,1790
conv,128,LatencyAvg,1790
conv,128,LatencyWorst,1790
conv,128,PipelineII,1791
conv,128,elapsed_time,156.66
conv,16,target_clock_period,10.0
conv,16,slack,3.865
conv,16,clock_period_minus_wns,6.135
conv,16,Arithmetic,56
conv,16,CLB,6206
conv,16,Register,2829
conv,16,LatencyBest,3600
conv,16,LatencyAvg,3600
conv,16,LatencyWorst,3600
conv,16,PipelineII,3601
conv,16,elapsed_time,42.35
conv,2,target_clock_period,10.0
conv,2,slack,3.642
conv,2,clock_period_minus_wns,6.3580000000000005
conv,2,Arithmetic,8
conv,2,CLB,799
conv,2,Register,419
conv,2,LatencyBest,49396
conv,2,LatencyAvg,49396
conv,2,LatencyWorst,49396
conv,2,PipelineII,49397
conv,2,elapsed_time,27.66
conv,256,target_clock_period,10.0
conv,256,slack,3.858
conv,256,clock_period_minus_wns,6.1419999999999995
conv,256,Arithmetic,168
conv,256,CLB,22818
conv,256,Register,19366
conv,256,LatencyBest,1101
conv,256,LatencyAvg,1101
conv,256,LatencyWorst,1101
conv,256,PipelineII,1102
conv,256,elapsed_time,93.38
conv,32,target_clock_period,10.0
conv,32,slack,3.865
conv,32,clock_period_minus_wns,6.135
conv,32,Arithmetic,72
conv,32,CLB,8184
conv,32,Register,4801
conv,32,LatencyBest,2540
