module,unroll_factor,metric_name,metric_val
addmm,2048,DSP,2.8368794326241136
addmm,2048,FF,3.716172680412371
addmm,2048,LUT,7.354642243495337
addmm,2048,LatencyBest,77
addmm,2048,clock_period_minus_wns,2.982
batch_norm,2048,DSP,1.9946808510638299
batch_norm,2048,FF,6.469685812469319
batch_norm,2048,LUT,15.581967967599411
batch_norm,2048,LatencyBest,29
batch_norm,2048,clock_period_minus_wns,2.982
conv,2048,DSP,6.515957446808511
conv,2048,FF,7.059938021600392
conv,2048,LUT,15.457167403043693
conv,2048,LatencyBest,54
conv,2048,clock_period_minus_wns,2.7430000000000003
max_pool_2d,2048,FF,0.3541513254786451
max_pool_2d,2048,LUT,1.684845974472263
max_pool_2d,2048,LatencyBest,165
max_pool_2d,2048,clock_period_minus_wns,1.4619999999999997
soft_max,2048,DSP,8.51063829787234
soft_max,2048,FF,15.245689126165932
soft_max,2048,LUT,27.968136352479135
soft_max,2048,LatencyBest,88
soft_max,2048,clock_period_minus_wns,3.7329999999999997
