module,unroll_factor,metric_name,metric_val
addmm,2,target_clock_period,10.0
addmm,2,slack,2.725
addmm,2,clock_period_minus_wns,7.275
addmm,2,DSPs,0.1
addmm,2,LUTs,0.55
addmm,2,RAMs,1.46
addmm,2,Registers,0.39
addmm,2,LatencyBest,3904
addmm,2,LatencyAvg,3904
addmm,2,LatencyWorst,3904
addmm,2,PipelineII,3635
addmm,2,elapsed_time,50.63
addmm,4,target_clock_period,10.0
addmm,4,slack,2.682
addmm,4,clock_period_minus_wns,7.318
addmm,4,DSPs,0.1
addmm,4,LUTs,0.54
addmm,4,RAMs,1.39
addmm,4,Registers,0.4
addmm,4,LatencyBest,3638
addmm,4,LatencyAvg,3638
addmm,4,LatencyWorst,3638
addmm,4,PipelineII,3638
addmm,4,elapsed_time,50.5
addmm,8,target_clock_period,10.0
addmm,8,slack,2.682
addmm,8,clock_period_minus_wns,7.318
addmm,8,DSPs,0.1
addmm,8,LUTs,0.54
addmm,8,RAMs,1.39
addmm,8,Registers,0.4
addmm,8,LatencyBest,3638
addmm,8,LatencyAvg,3638
addmm,8,LatencyWorst,3638
addmm,8,PipelineII,3638
addmm,8,elapsed_time,50.31
addmm,16,target_clock_period,10.0
addmm,16,slack,3.089
addmm,16,clock_period_minus_wns,6.911
addmm,16,DSPs,0.17
addmm,16,LUTs,0.51
addmm,16,RAMs,0.47
addmm,16,Registers,0.36
addmm,16,LatencyBest,2134
addmm,16,LatencyAvg,2134
addmm,16,LatencyWorst,2134
addmm,16,PipelineII,2001
addmm,16,elapsed_time,54.12
addmm,32,target_clock_period,10.0
addmm,32,slack,3.026
addmm,32,clock_period_minus_wns,6.974
addmm,32,DSPs,0.17
addmm,32,LUTs,0.49
addmm,32,RAMs,0.4
addmm,32,Registers,0.37
addmm,32,LatencyBest,2001
addmm,32,LatencyAvg,2001
addmm,32,LatencyWorst,2001
addmm,32,PipelineII,2001
addmm,32,elapsed_time,53.26
addmm,64,target_clock_period,10.0
addmm,64,slack,3.026
addmm,64,clock_period_minus_wns,6.974
addmm,64,DSPs,0.17
addmm,64,LUTs,0.49
addmm,64,RAMs,0.4
addmm,64,Registers,0.37
addmm,64,LatencyBest,2001
addmm,64,LatencyAvg,2001
addmm,64,LatencyWorst,2001
addmm,64,PipelineII,2001
addmm,64,elapsed_time,52.35
addmm,128,target_clock_period,10.0
addmm,128,slack,3.227
addmm,128,clock_period_minus_wns,6.773
addmm,128,DSPs,0.17
addmm,128,LUTs,0.49
addmm,128,RAMs,0.4
addmm,128,Registers,0.37
addmm,128,LatencyBest,2001
addmm,128,LatencyAvg,2001
addmm,128,LatencyWorst,2001
addmm,128,PipelineII,2001
addmm,128,elapsed_time,53.2
addmm,256,target_clock_period,10.0
addmm,256,slack,2.744
addmm,256,clock_period_minus_wns,7.256
addmm,256,DSPs,0.17
addmm,256,LUTs,0.49
addmm,256,RAMs,0.4
addmm,256,Registers,0.37
addmm,256,LatencyBest,2001
addmm,256,LatencyAvg,2001
addmm,256,LatencyWorst,2001
addmm,256,PipelineII,2001
addmm,256,elapsed_time,54.32
addmm,512,target_clock_period,10.0
addmm,512,slack,3.089
addmm,512,clock_period_minus_wns,6.911
addmm,512,DSPs,0.17
addmm,512,LUTs,0.51
addmm,512,RAMs,0.47
addmm,512,Registers,0.36
addmm,512,LatencyBest,2134
addmm,512,LatencyAvg,2134
addmm,512,LatencyWorst,2134
addmm,512,PipelineII,2001
addmm,512,elapsed_time,52.67
addmm,1024,target_clock_period,10.0
addmm,1024,slack,3.026
addmm,1024,clock_period_minus_wns,6.974
addmm,1024,DSPs,0.17
addmm,1024,LUTs,0.49
addmm,1024,RAMs,0.4
addmm,1024,Registers,0.37
addmm,1024,LatencyBest,2001
addmm,1024,LatencyAvg,2001
addmm,1024,LatencyWorst,2001
addmm,1024,PipelineII,2001
addmm,1024,elapsed_time,51.77
addmm,2048,target_clock_period,10.0
addmm,2048,slack,2.755
addmm,2048,clock_period_minus_wns,7.245
addmm,2048,DSPs,0.17
addmm,2048,LUTs,0.51
addmm,2048,RAMs,0.5
addmm,2048,Registers,0.36
addmm,2048,LatencyBest,2270
addmm,2048,LatencyAvg,2270
addmm,2048,LatencyWorst,2270
addmm,2048,PipelineII,2001
addmm,2048,elapsed_time,62.11
addmm,4096,target_clock_period,10.0
addmm,4096,slack,3.089
addmm,4096,clock_period_minus_wns,6.911
addmm,4096,DSPs,0.17
addmm,4096,LUTs,0.51
addmm,4096,RAMs,0.47
addmm,4096,Registers,0.36
addmm,4096,LatencyBest,2134
addmm,4096,LatencyAvg,2134
addmm,4096,LatencyWorst,2134
addmm,4096,PipelineII,2001
addmm,4096,elapsed_time,55.94
addmm,8192,target_clock_period,10.0
addmm,8192,slack,3.026
addmm,8192,clock_period_minus_wns,6.974
addmm,8192,DSPs,0.17
addmm,8192,LUTs,0.49
addmm,8192,RAMs,0.4
addmm,8192,Registers,0.37
addmm,8192,LatencyBest,2001
addmm,8192,LatencyAvg,2001
addmm,8192,LatencyWorst,2001
addmm,8192,PipelineII,2001
addmm,8192,elapsed_time,61.5
addmm,16384,target_clock_period,10.0
addmm,16384,slack,3.089
addmm,16384,clock_period_minus_wns,6.911
addmm,16384,DSPs,0.17
addmm,16384,LUTs,0.51
addmm,16384,RAMs,0.47
addmm,16384,Registers,0.36
addmm,16384,LatencyBest,2134
addmm,16384,LatencyAvg,2134
addmm,16384,LatencyWorst,2134
addmm,16384,PipelineII,2001
addmm,16384,elapsed_time,63.02
addmm,32768,target_clock_period,10.0
addmm,32768,slack,3.026
addmm,32768,clock_period_minus_wns,6.974
addmm,32768,DSPs,0.17
addmm,32768,LUTs,0.49
addmm,32768,RAMs,0.4
addmm,32768,Registers,0.37
addmm,32768,LatencyBest,2001
addmm,32768,LatencyAvg,2001
addmm,32768,LatencyWorst,2001
addmm,32768,PipelineII,2001
addmm,32768,elapsed_time,55.89
addmm,65536,target_clock_period,10.0
addmm,65536,slack,3.089
addmm,65536,clock_period_minus_wns,6.911
addmm,65536,DSPs,0.17
addmm,65536,LUTs,0.51
addmm,65536,RAMs,0.47
addmm,65536,Registers,0.36
addmm,65536,LatencyBest,2134
addmm,65536,LatencyAvg,2134
addmm,65536,LatencyWorst,2134
addmm,65536,PipelineII,2001
addmm,65536,elapsed_time,55.83
braggnn,2,target_clock_period,10.0
braggnn,2,slack,1.042
braggnn,2,clock_period_minus_wns,8.958
braggnn,2,DSPs,0.2
braggnn,2,LUTs,4.38
braggnn,2,RAMs,6.52
braggnn,2,Registers,3.27
braggnn,2,LatencyBest,208251
braggnn,2,LatencyAvg,208251
braggnn,2,LatencyWorst,208251
braggnn,2,PipelineII,208251
braggnn,2,elapsed_time,1860.74
braggnn,4,target_clock_period,10.0
braggnn,4,slack,1.315
braggnn,4,clock_period_minus_wns,8.685
braggnn,4,DSPs,0.57
braggnn,4,LUTs,5.16
